-F,-H,-W,-c,-g,-j,-k,-l,-n,-p,-q,-t,-u,-v,-x,-y
1,16,44,1024,1,1,2048,1,204,0,0,1,2,2,1,1
2,16,44,1024,1,1,2048,1,204,0,0,1,2,2,1,1
4,16,44,1024,1,1,2048,1,204,0,0,1,2,2,1,1
1,16,44,1024,1,1,256,1,204,0,0,1,1,1,1,1
2,16,44,1024,1,1,256,1,204,0,0,1,1,1,1,1
4,16,44,1024,1,1,256,1,204,0,0,1,1,1,1,1
1,16,44,1024,1,1,512,1,204,0,0,1,1,1,1,1
2,16,44,1024,1,1,512,1,204,0,0,1,1,1,1,1
4,16,44,1024,1,1,512,1,204,0,0,1,1,1,1,1
1,32,88,128,1,1,128,1,204,1,1,1,1,1,3,3
2,32,88,128,1,1,128,1,204,1,1,1,1,1,3,3
4,32,88,128,1,1,128,1,204,1,1,1,1,1,3,3
1,32,88,128,1,1,512,1,204,0,0,1,1,1,1,1
2,32,88,128,1,1,512,1,204,0,0,1,1,1,1,1
4,32,88,128,1,1,512,1,204,0,0,1,1,1,1,1
1,64,176,128,1,1,128,1,204,1,1,1,2,2,3,3
2,64,176,128,1,1,128,1,204,1,1,1,2,2,3,3
4,64,176,128,1,1,128,1,204,1,1,1,2,2,3,3
1,8,22,2048,1,1,256,1,204,0,0,1,1,1,1,1
2,8,22,2048,1,1,256,1,204,0,0,1,1,1,1,1
4,8,22,2048,1,1,256,1,204,0,0,1,1,1,1,1
1,8,22,2048,1,1,512,1,204,0,0,1,1,1,1,1
2,8,22,2048,1,1,512,1,204,0,0,1,1,1,1,1
4,8,22,2048,1,1,512,1,204,0,0,1,1,1,1,1
1,16,44,256,1,1,1024,1,204,0,0,1,1,1,1,1
2,16,44,256,1,1,1024,1,204,0,0,1,1,1,1,1
4,16,44,256,1,1,1024,1,204,0,0,1,1,1,1,1
1,16,44,256,1,1,152,1,204,0,0,1,1,1,1,1
2,16,44,256,1,1,152,1,204,0,0,1,1,1,1,1
4,16,44,256,1,1,152,1,204,0,0,1,1,1,1,1
1,16,44,256,1,1,256,1,204,1,1,1,1,1,3,3
2,16,44,256,1,1,256,1,204,1,1,1,1,1,3,3
4,16,44,256,1,1,256,1,204,1,1,1,1,1,3,3
1,32,88,256,1,1,256,1,204,1,1,1,2,2,3,3
2,32,88,256,1,1,256,1,204,1,1,1,2,2,3,3
4,32,88,256,1,1,256,1,204,1,1,1,2,2,3,3
1,64,176,256,1,1,128,1,204,0,0,1,1,1,1,1
2,64,176,256,1,1,128,1,204,0,0,1,1,1,1,1
4,64,176,256,1,1,128,1,204,0,0,1,1,1,1,1
1,64,176,256,1,1,512,1,204,0,0,1,2,2,1,1
2,64,176,256,1,1,512,1,204,0,0,1,2,2,1,1
4,64,176,256,1,1,512,1,204,0,0,1,2,2,1,1
1,64,176,256,1,1,64,1,204,0,0,1,1,1,1,1
2,64,176,256,1,1,64,1,204,0,0,1,1,1,1,1
4,64,176,256,1,1,64,1,204,0,0,1,1,1,1,1
1,256,704,3,1,1,64,1,204,3,3,1,2,2,7,7
4,256,704,3,1,1,64,1,204,3,3,1,2,2,7,7
1,16,44,512,1,1,512,1,204,1,1,1,2,2,3,3
2,16,44,512,1,1,512,1,204,1,1,1,2,2,3,3
4,16,44,512,1,1,512,1,204,1,1,1,2,2,3,3
1,32,88,512,1,1,1024,1,204,0,0,1,2,2,1,1
2,32,88,512,1,1,1024,1,204,0,0,1,2,2,1,1
4,32,88,512,1,1,1024,1,204,0,0,1,2,2,1,1
1,32,88,512,1,1,128,1,204,0,0,1,1,1,1,1
2,32,88,512,1,1,128,1,204,0,0,1,1,1,1,1
4,32,88,512,1,1,128,1,204,0,0,1,1,1,1,1
1,32,88,512,1,1,256,1,204,0,0,1,1,1,1,1
2,32,88,512,1,1,256,1,204,0,0,1,1,1,1,1
4,32,88,512,1,1,256,1,204,0,0,1,1,1,1,1
1,8,22,512,1,1,2048,1,204,0,0,1,1,1,1,1
2,8,22,512,1,1,2048,1,204,0,0,1,1,1,1,1
4,8,22,512,1,1,2048,1,204,0,0,1,1,1,1,1
1,8,22,512,1,1,512,1,204,1,1,1,1,1,3,3
2,8,22,512,1,1,512,1,204,1,1,1,1,1,3,3
4,8,22,512,1,1,512,1,204,1,1,1,1,1,3,3
1,64,176,64,1,1,256,1,204,0,0,1,1,1,1,1
2,64,176,64,1,1,256,1,204,0,0,1,1,1,1,1
4,64,176,64,1,1,256,1,204,0,0,1,1,1,1,1
1,64,176,64,1,1,64,1,204,0,0,1,1,1,1,1
2,64,176,64,1,1,64,1,204,0,0,1,1,1,1,1
4,64,176,64,1,1,64,1,204,0,0,1,1,1,1,1
1,64,176,64,1,1,64,1,204,1,1,1,1,1,3,3
2,64,176,64,1,1,64,1,204,1,1,1,1,1,3,3
4,64,176,64,1,1,64,1,204,1,1,1,1,1,3,3
1,30,50,1024,1,1,2048,1,48,0,0,1,2,2,1,1
2,30,50,1024,1,1,2048,1,48,0,0,1,2,2,1,1
4,30,50,1024,1,1,2048,1,48,0,0,1,2,2,1,1
1,30,50,1024,1,1,256,1,48,0,0,1,1,1,1,1
2,30,50,1024,1,1,256,1,48,0,0,1,1,1,1,1
4,30,50,1024,1,1,256,1,48,0,0,1,1,1,1,1
1,30,50,1024,1,1,512,1,48,0,0,1,1,1,1,1
2,30,50,1024,1,1,512,1,48,0,0,1,1,1,1,1
4,30,50,1024,1,1,512,1,48,0,0,1,1,1,1,1
1,120,200,128,1,1,128,1,48,1,1,1,2,2,3,3
2,120,200,128,1,1,128,1,48,1,1,1,2,2,3,3
4,120,200,128,1,1,128,1,48,1,1,1,2,2,3,3
1,60,100,128,1,1,128,1,48,1,1,1,1,1,3,3
2,60,100,128,1,1,128,1,48,1,1,1,1,1,3,3
4,60,100,128,1,1,128,1,48,1,1,1,1,1,3,3
1,60,100,128,1,1,512,1,48,0,0,1,1,1,1,1
2,60,100,128,1,1,512,1,48,0,0,1,1,1,1,1
4,60,100,128,1,1,512,1,48,0,0,1,1,1,1,1
1,15,25,2048,1,1,256,1,48,0,0,1,1,1,1,1
2,15,25,2048,1,1,256,1,48,0,0,1,1,1,1,1
4,15,25,2048,1,1,256,1,48,0,0,1,1,1,1,1
1,15,25,2048,1,1,512,1,48,0,0,1,1,1,1,1
2,15,25,2048,1,1,512,1,48,0,0,1,1,1,1,1
4,15,25,2048,1,1,512,1,48,0,0,1,1,1,1,1
1,120,200,256,1,1,128,1,48,0,0,1,1,1,1,1
4,120,200,256,1,1,128,1,48,0,0,1,1,1,1,1
1,120,200,256,1,1,512,1,48,0,0,1,2,2,1,1
4,120,200,256,1,1,512,1,48,0,0,1,2,2,1,1
1,120,200,256,1,1,64,1,48,0,0,1,1,1,1,1
1,15,25,256,1,1,256,1,48,1,1,1,1,1,3,3
2,15,25,256,1,1,256,1,48,1,1,1,1,1,3,3
4,15,25,256,1,1,256,1,48,1,1,1,1,1,3,3
1,30,50,256,1,1,1024,1,48,0,0,1,1,1,1,1
2,30,50,256,1,1,1024,1,48,0,0,1,1,1,1,1
4,30,50,256,1,1,1024,1,48,0,0,1,1,1,1,1
1,30,50,256,1,1,256,1,48,1,1,1,1,1,3,3
2,30,50,256,1,1,256,1,48,1,1,1,1,1,3,3
4,30,50,256,1,1,256,1,48,1,1,1,1,1,3,3
1,60,100,256,1,1,256,1,48,1,1,1,2,2,3,3
2,60,100,256,1,1,256,1,48,1,1,1,2,2,3,3
4,60,100,256,1,1,256,1,48,1,1,1,2,2,3,3
